timestamp,site,it_load_kw,it_capacity_kw,outside_temp_c,cooling_setpoint_c,energy_kwh
2024-01-01 00:00:00,MINI_DC_A,342.87,417,3.2,24.0,445.73
2024-01-01 01:00:00,MINI_DC_A,167.55,417,7.1,24.0,219.98
2024-01-01 02:00:00,MINI_DC_A,320.52,417,2.7,24.0,424.69
2024-01-01 03:00:00,MINI_DC_A,175.33,417,4.6,24.0,234.13
2024-01-01 04:00:00,MINI_DC_A,230.99,417,3.6,24.0,310.29
2024-01-01 05:00:00,MINI_DC_A,293.62,417,6.8,24.0,395.89
2024-01-01 06:00:00,MINI_DC_A,247.65,417,7.5,24.0,334.32
2024-01-01 07:00:00,MINI_DC_A,273.14,417,3.5,24.0,368.28
2024-01-01 08:00:00,MINI_DC_A,335.77,417,3.3,24.0,451.04
2024-01-01 09:00:00,MINI_DC_A,319.82,417,5.2,24.0,427.07
2024-01-01 10:00:00,MINI_DC_A,368.58,417,3.9,24.0,488.37
2024-01-01 11:00:00,MINI_DC_A,324.47,417,4.9,24.0,426.01
2024-01-01 12:00:00,MINI_DC_A,252.99,417,4.6,24.0,328.89
2024-01-01 13:00:00,MINI_DC_A,181.34,417,6.0,24.0,233.39
2024-01-01 14:00:00,MINI_DC_A,316.76,417,6.1,24.0,403.87
2024-01-01 15:00:00,MINI_DC_A,220.68,417,4.4,24.0,279.08
2024-01-01 16:00:00,MINI_DC_A,253.64,417,3.6,24.0,318.75
2024-01-01 17:00:00,MINI_DC_A,175.75,417,7.5,24.0,219.98
2024-01-01 18:00:00,MINI_DC_A,197.99,417,3.6,24.0,247.49
2024-01-01 19:00:00,MINI_DC_A,246.21,417,6.6,24.0,308.18
2024-01-01 20:00:00,MINI_DC_A,336.83,417,6.3,24.0,423.29
2024-01-01 21:00:00,MINI_DC_A,234.82,417,5.7,24.0,296.96
2024-01-01 22:00:00,MINI_DC_A,302.48,417,5.7,24.0,385.66
2024-01-01 23:00:00,MINI_DC_A,191.8,417,5.7,24.0,246.86
2024-01-02 00:00:00,MINI_DC_A,326.43,417,5.7,24.0,424.36
2024-01-02 01:00:00,MINI_DC_A,307.68,417,6.8,24.0,403.97
2024-01-02 02:00:00,MINI_DC_A,251.2,417,4.9,24.0,332.84
2024-01-02 03:00:00,MINI_DC_A,178.01,417,4.2,24.0,237.71
2024-01-02 04:00:00,MINI_DC_A,299.25,417,8.5,24.0,401.98
2024-01-02 05:00:00,MINI_DC_A,275.59,417,7.5,24.0,371.57
2024-01-02 06:00:00,MINI_DC_A,291.52,417,4.8,24.0,393.56
2024-01-02 07:00:00,MINI_DC_A,274.2,417,6.7,24.0,369.71
